id	cpu	memory	io	arTime	cpu	memory	io	cpu	memory	io	cpu	memory	io	
1	95	18	60	41	44	13	52	78	-12	31	11	8	57	
2	80	18	57	67	12	13	23	20	-14	45	11	18	41	
3	15	13	34	28	77	12	41	14	-8	33	75	10	38	
4	23	14	48	57	44	13	29	34	-16	35	79	17	21	
5	12	13	39	16	30	14	60	27	-9	56	58	5	56	
6	71	6	53	53	86	12	35	68	-7	26	75	16	59	
7	27	10	45	45	74	5	49	89	-20	21	99	7	44	
8	64	9	57	55	51	18	26	99	-15	52	51	14	54	
9	23	14	44	27	59	10	30	42	-16	32	44	13	52	
10	82	17	53	2	75	8	60	37	-13	21	79	5	39	
11	46	12	55	74	29	14	52	59	-19	56	42	14	49	
12	26	8	40	37	89	11	48	100	-16	21	92	14	33	
13	14	19	25	2	48	12	42	41	-13	50	85	19	22	
14	20	8	60	54	66	15	56	44	-17	47	35	14	28	
15	31	6	39	75	52	5	54	30	-11	36	13	9	44	
16	53	6	43	6	47	13	24	21	-16	24	88	18	23	
17	15	9	34	53	79	17	59	26	-10	53	72	18	34	
18	83	14	55	59	76	5	44	28	-16	51	52	5	33	
19	63	9	44	9	81	9	58	94	-15	24	66	10	27	
20	18	19	40	38	92	11	43	46	-15	24	93	5	45	
21	26	17	60	19	17	19	27	16	-18	48	47	11	43	
22	53	16	60	24	62	19	45	37	-12	31	40	11	23	
23	66	7	59	36	58	14	54	28	-18	39	15	18	51	
24	46	13	51	31	41	12	31	18	-19	48	11	17	33	
25	58	12	48	75	34	9	36	96	-17	49	77	5	39	
26	24	11	49	35	44	5	46	97	-17	52	38	19	34	
27	82	8	40	35	35	14	27	62	-15	56	47	6	42	
28	88	15	21	78	80	7	22	88	-10	43	87	8	54	
29	100	15	56	78	49	9	40	93	-17	41	91	10	34	
30	100	9	55	16	55	6	30	55	-20	21	53	16	22	
31	11	6	23	5	44	17	51	26	-12	30	10	7	56	
32	88	14	55	53	32	18	54	57	-17	26	45	17	43	
33	82	19	45	7	44	5	37	66	-7	24	87	5	25	
34	55	16	50	51	68	5	57	18	-14	35	18	11	28	
35	69	17	59	55	98	11	25	91	-7	50	85	8	21	
36	60	11	52	72	85	11	38	64	-17	52	70	18	44	
37	17	8	44	41	59	9	23	65	-9	42	51	7	22	
38	60	12	52	59	73	6	33	15	-13	56	26	17	21	
39	35	9	27	27	22	10	35	82	-13	21	70	6	60	
40	27	17	26	8	79	12	53	12	-9	40	36	6	33	
41	74	15	32	28	67	9	54	48	-8	25	100	7	55	
42	87	5	42	3	40	15	25	80	-11	47	88	17	30	
43	48	10	37	35	32	7	58	29	-18	35	39	5	21	
44	62	10	39	38	21	8	26	12	-15	48	33	10	45	
45	87	9	40	36	63	11	40	41	-14	50	64	9	36	
46	81	7	43	10	46	5	59	44	-17	47	15	11	55	
47	83	18	22	30	52	6	42	72	-8	36	19	17	22	
48	59	16	41	61	91	16	20	32	-19	39	31	16	55	
49	94	19	35	27	73	8	37	72	-18	41	10	7	20	
50	47	18	28	16	74	9	51	34	-12	54	87	13	39	
51	64	18	31	36	55	16	30	72	-15	52	100	10	33	
52	73	6	38	8	42	18	55	30	-15	36	74	19	26	
53	90	13	56	72	55	6	23	19	-18	34	69	16	29	
54	74	6	44	73	31	5	29	80	-12	21	91	10	29	
55	83	10	20	58	43	9	33	89	-15	51	19	17	41	
56	79	10	45	13	91	18	40	77	-9	44	62	6	32	
57	59	6	38	24	19	11	35	20	-7	37	37	6	42	
58	94	9	23	8	78	11	37	88	-13	54	72	17	54	
59	46	18	34	11	13	10	22	53	-12	51	13	17	46	
60	79	19	57	33	45	14	41	82	-11	30	22	11	35	
61	59	7	34	6	37	5	20	39	-6	48	94	18	54	
62	16	14	41	37	100	5	29	79	-10	33	94	11	45	
63	50	11	54	30	52	7	45	61	-16	31	70	17	27	
64	54	19	54	58	73	16	38	90	-12	51	28	12	46	
65	87	17	56	66	38	18	41	73	-7	22	35	9	20	
66	45	5	35	42	48	10	25	35	-13	24	15	18	60	
67	57	8	38	66	42	10	49	29	-20	48	35	8	26	
68	68	12	31	47	97	6	41	48	-17	24	72	13	55	
69	43	7	23	54	90	18	20	83	-9	31	85	18	54	
70	34	9	41	72	72	9	45	87	-10	45	41	11	20	
71	48	5	24	59	24	15	36	87	-20	21	93	12	43	
72	48	13	44	9	65	10	44	69	-9	31	73	10	36	
73	11	19	21	74	36	6	36	41	-10	34	50	11	56	
74	50	10	24	79	20	12	47	74	-20	35	83	16	47	
75	72	8	38	48	34	9	42	91	-11	41	83	7	21	
76	44	17	54	40	71	19	50	67	-13	30	10	6	38	
77	28	18	44	77	90	5	57	46	-10	20	81	5	42	
78	75	15	51	9	47	16	53	70	-10	26	23	7	51	
79	45	8	34	80	43	5	25	21	-13	21	94	16	47	
80	81	16	56	13	48	5	36	82	-15	48	35	14	52	
81	51	9	23	39	84	5	56	48	-8	57	20	7	58	
82	29	15	23	55	87	18	37	13	-19	42	88	6	41	
83	36	15	39	48	74	14	47	36	-17	36	55	17	24	
